2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 2 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 0 i: 0 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 0 i: 1 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 0 i: 2 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 0 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 1 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 2 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 0 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 1 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 2 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 0 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 1 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 2 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 2 i: 0 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 2 i: 1 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 2 i: 2 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 0 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 1 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 1 i: 2 
2018-04-22 21:40:47.628 INFO  [main] - r: 2 g: 2 i: 0 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 2 i: 1 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 2 i: 2 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 0 i: 0 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 0 i: 1 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 0 i: 2 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 1 i: 0 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 1 i: 1 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 1 i: 2 
2018-04-22 21:40:47.629 INFO  [main] - r: 2 g: 1 i: 0 
